Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2019-03-15,,99.4,97.1,99.35,,7301998.0,721660526.0,,,
2019-03-18,,99.68,98.37,98.85,,1649618.0,163042600.0,,,
2019-03-19,,100.22,98.75,100.14,,1780112.0,177665243.0,,,
2019-03-20,,100.8,99.83,100.1,,2488618.0,249335811.0,,,
2019-03-21,,100.28,99.06,100.1,,1783181.0,178084224.0,,,
2019-03-22,,100.94,98.62,98.68,,2673512.0,265324710.0,,,
2019-03-25,,98.89,97.36,98.64,,1708697.0,168216607.0,,,
2019-03-26,,100.86,98.85,100.86,,2169402.0,217698175.0,,,
2019-03-27,,101.28,100.04,100.24,,2139758.0,214905022.0,,,
2019-03-28,,102.06,100.5,101.44,,2113641.0,214519642.0,,,
2019-03-29,,103.4,102.06,103.0,,2495406.0,256614646.0,,,
2019-04-01,,103.64,102.82,103.0,,2084518.0,214793346.0,,,
2019-04-02,,103.5,102.88,103.1,,1546912.0,159542128.0,,,
2019-04-03,,104.18,103.32,103.84,,2029689.0,210696935.0,,,
2019-04-04,,104.88,103.64,103.64,,2248473.0,234126725.0,,,
2019-04-05,,102.98,101.68,102.5,,2909137.0,297800599.0,,,
2019-04-08,,101.88,100.26,101.88,,2674479.0,271032421.0,,,
2019-04-09,,99.97,97.79,98.38,,3596866.0,355508393.0,,,
2019-04-10,,100.0,98.33,99.7,,2276733.0,226593530.0,,,
2019-04-11,,100.1,99.29,99.67,,1782098.0,177707803.0,,,
2019-04-12,,100.18,99.13,99.39,,1668823.0,166203983.0,,,
2019-04-15,,99.78,99.01,99.76,,1294138.0,128810615.0,,,
2019-04-16,,100.08,98.95,99.47,,1781291.0,177203204.0,,,
2019-04-17,,100.06,97.77,99.37,,2283564.0,226352581.0,,,
2019-04-18,,101.02,99.22,100.48,,3944639.0,396154762.0,,,
2019-04-23,,102.14,100.5,101.84,,2144933.0,217833876.0,,,
2019-04-24,,116.32,106.92,114.62,,8635777.0,967868800.0,,,
2019-04-25,,115.2,111.7,115.04,,4612262.0,527404056.0,,,
2019-04-26,115.34,117.08,114.1,114.34,,3778974.0,436315552.0,,,
2019-04-29,113.72,115.0,111.76,115.0,,2241297.0,255762576.0,,,
2019-04-30,114.2,115.2,113.24,114.58,,2576082.0,294426624.0,,,
2019-05-02,113.6,114.0,112.44,113.1,,2984610.0,337832160.0,,,
2019-05-03,112.6,113.66,112.32,113.66,,2209498.0,250216256.0,,,
2019-05-06,111.38,112.8,111.04,112.5,,2105594.0,236158960.0,,,
2019-05-07,112.2,113.18,109.96,110.06,,2699819.0,299070848.0,,,
2019-05-08,110.0,111.24,109.42,111.1,,2368627.0,261882032.0,,,
2019-05-09,110.1,111.7,109.56,110.08,,2681636.0,296421536.0,,,
2019-05-10,111.6,111.92,109.92,110.24,,2427404.0,268523072.0,,,
2019-05-13,110.94,111.34,109.78,109.9,,3210370.0,354312352.0,,,
2019-05-14,110.8,111.92,109.38,111.92,,3358261.0,373299072.0,,,
2019-05-15,112.86,113.28,110.66,112.96,,3704943.0,416273696.0,,,
2019-05-16,111.66,116.22,111.46,116.08,,3770718.0,432705568.0,,,
2019-05-17,115.3,115.62,113.78,114.6,,3387785.0,388711456.0,,,
2019-05-20,113.88,114.2,111.28,111.9,,2827331.0,317243328.0,,,
2019-05-21,112.82,114.54,112.32,113.76,,2226387.0,253111328.0,,,
2019-05-22,113.56,115.72,113.56,115.68,,2623657.0,301257184.0,,,
2019-05-23,114.44,114.82,112.78,113.18,,2893570.0,328394304.0,,,
2019-05-24,113.34,114.5,113.34,113.62,,1872287.0,213238160.0,,,
2019-05-27,114.22,114.46,113.38,113.72,,676763.0,77025696.0,,,
2019-05-28,113.8,114.12,112.7,113.16,,2891163.0,327441504.0,,,
2019-05-29,112.24,112.78,111.2,111.2,,2539627.0,283384640.0,,,
2019-05-30,111.58,112.22,110.92,112.0,,1120984.0,125328640.0,,,
2019-05-31,111.44,111.78,109.9,110.42,,2588784.0,285919104.0,,,
2019-06-03,109.6,111.38,109.18,111.22,,2280685.0,252856160.0,,,
2019-06-04,108.92,111.14,108.28,111.14,,2637001.0,290661920.0,,,
2019-06-05,112.24,113.92,111.48,111.96,,2471815.0,277935968.0,,,
2019-06-06,112.16,112.8,110.58,111.38,,1885826.0,210470160.0,,,
2019-06-07,112.1,114.24,112.08,113.72,,2354457.0,267202080.0,,,
2019-06-11,114.02,114.66,113.18,113.18,,2014094.0,228888032.0,,,
2019-06-12,112.38,113.58,111.96,113.32,,1840442.0,208058016.0,,,
2019-06-13,113.76,114.9,113.52,114.44,,1913057.0,218752816.0,,,
2019-06-14,114.68,114.68,113.18,113.54,,1680954.0,191134688.0,,,
2019-06-17,114.6,114.98,113.84,114.62,,1628327.0,186573040.0,,,
2019-06-18,115.0,118.22,113.58,118.16,,3314071.0,388478528.0,,,
2019-06-19,117.56,118.12,116.86,116.98,,2393016.0,280401920.0,,,
2019-06-20,118.5,119.42,118.32,118.72,,2162343.0,257025248.0,,,
2019-06-21,118.64,119.44,117.76,118.5,,8413074.0,997381632.0,,,
2019-06-24,118.5,119.24,118.26,118.82,,1792674.0,212940656.0,,,
2019-06-25,118.68,119.74,118.22,118.46,,2034657.0,241877536.0,,,
2019-06-26,117.44,118.52,116.98,118.5,,2114001.0,249637712.0,,,
2019-06-27,118.8,118.8,116.96,118.0,,1933707.0,227981744.0,,,
2019-06-28,118.32,120.76,118.26,120.76,,3600914.0,432320672.0,,,
2019-07-01,122.58,123.64,121.14,122.26,,2507852.0,306471200.0,,,
2019-07-02,122.86,123.5,121.74,123.5,,1950067.0,239815504.0,,,
2019-07-03,123.46,125.0,123.34,124.38,,2029596.0,252373056.0,,,
2019-07-04,124.86,124.98,123.48,123.76,,1195658.0,148316320.0,,,
2019-07-05,123.68,124.7,122.12,122.82,,2056605.0,253422528.0,,,
2019-07-08,122.66,123.94,122.48,123.2,,1486343.0,183236608.0,,,
2019-07-09,123.42,124.06,122.54,123.0,,2134639.0,262700848.0,,,
2019-07-10,122.98,123.04,121.36,121.9,,1812330.0,221336416.0,,,
2019-07-11,122.5,122.62,121.1,121.92,,1614771.0,196599920.0,,,
2019-07-12,121.98,122.14,120.9,121.06,,1655671.0,200775424.0,,,
2019-07-15,121.26,122.42,120.62,121.42,,1411626.0,171478016.0,,,
2019-07-16,121.44,121.64,120.32,120.98,,2004279.0,242119392.0,,,
2019-07-17,121.14,121.92,119.4,120.06,,2346564.0,282718976.0,,,
2019-07-18,110.0,114.42,108.1,113.32,,6059180.0,681715776.0,,,
2019-07-19,113.28,113.74,111.4,112.0,,3739082.0,420033344.0,,,
2019-07-22,112.0,112.48,110.96,111.24,,2076869.0,231681728.0,,,
2019-07-23,111.98,112.62,111.24,112.46,,2503598.0,280851552.0,,,
2019-07-24,112.56,114.22,112.54,113.78,,2283223.0,259602224.0,,,
2019-07-25,114.62,114.82,112.22,112.22,,3429388.0,388313280.0,,,
2019-07-26,113.3,114.34,112.6,114.1,,2064020.0,234946080.0,,,
2019-07-29,114.2,114.96,113.42,113.42,,1512146.0,172140688.0,,,
2019-07-30,113.64,113.64,110.34,110.58,,2482270.0,275837152.0,,,
2019-07-31,110.5,112.14,110.1,111.72,,2035920.0,226938512.0,,,
2019-08-01,110.62,113.18,110.56,113.18,,1916607.0,215511744.0,,,
2019-08-02,110.68,112.14,109.14,109.36,,3650556.0,401749056.0,,,
2019-08-05,108.22,108.3,105.74,106.18,,3698539.0,394386752.0,,,
2019-08-06,106.34,107.22,104.0,104.0,,2660904.0,280344736.0,,,
2019-08-07,104.66,106.76,104.5,106.2,,2848175.0,301886336.0,,,
2019-08-08,108.0,108.66,107.4,108.66,,2446102.0,264878976.0,,,
2019-08-09,108.52,109.06,105.8,106.08,,2604093.0,277466944.0,,,
2019-08-12,106.68,108.06,105.9,106.34,,1245355.0,132784448.0,,,
2019-08-13,105.92,108.66,105.44,107.62,,2310378.0,247535216.0,,,
2019-08-14,107.84,107.96,104.92,105.48,,2699332.0,285462144.0,,,
2019-08-15,106.52,106.72,104.04,105.74,,2664902.0,281581344.0,,,
2019-08-16,106.24,107.58,106.08,107.3,,2347862.0,251372928.0,,,
2019-08-19,108.56,108.7,107.48,107.98,,1641413.0,177342432.0,,,
2019-08-20,107.96,108.22,106.74,106.86,,1650077.0,176942048.0,,,
2019-08-21,107.16,109.86,106.92,109.86,,2042372.0,223245312.0,,,
2019-08-22,109.34,109.96,107.38,107.48,,2074114.0,224171344.0,,,
2019-08-23,108.5,109.26,106.38,106.38,,2333551.0,250550816.0,,,
2019-08-26,105.62,106.92,105.28,106.72,,1167023.0,124037048.0,,,
2019-08-27,107.0,109.14,106.44,108.54,,2155424.0,233166816.0,,,
2019-08-28,107.74,107.74,106.0,107.12,,1568135.0,167656400.0,,,
2019-08-29,106.82,108.8,106.6,108.38,,1648210.0,178396640.0,,,
2019-08-30,108.6,109.6,108.12,108.6,,1680992.0,182856992.0,,,
